phase,hour_start,hour_end,task_id,task_name,path,owner,dependencies,acceptance_test,priority,risk_level,estimated_effort_h,go_gate_contribution
H0-H6,0,1,T001,Enable SQLite WAL mode,Path A,,,"PRAGMA journal_mode returns WAL; concurrent read during write succeeds without SQLITE_BUSY",1,LOW,0.5,yes
H0-H6,0,2,T002,Initialize chunk_queue table,Path A,,T001,"chunk_queue table exists with all columns; 51 rows inserted; idx_cq_status and idx_cq_lease_expires present",1,LOW,1.0,yes
H0-H6,1,3,T003,Implement grant_lease() with IMMEDIATE isolation,Path A,,T002,"10 concurrent lease requests yield exactly 1 successful grant per chunk; no duplicate LEASED rows observed",1,MEDIUM,1.5,yes
H0-H6,2,4,T004,Create sink_outbox and sink_sync_ledger tables,Path A,,T001,"sink_outbox table with UNIQUE(record_id) constraint; INSERT of duplicate record_id returns constraint violation not error",1,LOW,0.5,yes
H0-H6,3,5,T005,Integrate outbox write into persistence_gateway,Path A,,T003 T004,"Every chunk completion writes >=1 record to sink_outbox before returning; WAL durability confirmed via fsync check",1,MEDIUM,1.5,yes
H0-H6,5,6,T006,Deploy master status query as monitoring baseline,Path A,,T002 T004,"Status query returns chunk counts by status and outbox pending depth in <100ms; baseline snapshot captured at H1",2,LOW,0.5,yes
H0-H6,0,6,GATE-H6,H0-H6 Go-Gate validation,Path A,,"T001 T002 T003 T004 T005 T006","chunk_queue has 51 rows; sink_outbox receiving records; SQLite WAL confirmed; master status query deployed",1,LOW,0.5,yes
H6-H18,6,8,T007,Implement outbox sweep (dry-run first),Path A,,T005,"Dry-run logs all pending outbox records without writing to sink; zero records lost; no schema errors in log",2,MEDIUM,1.5,yes
H6-H18,7,9,T008,Implement heartbeat + stale lease reclaim,Path A,,T003,"heartbeat() updates last_heartbeat_at; reclaim_expired_leases() resets LEASED rows older than 2x heartbeat interval back to PENDING",2,MEDIUM,1.5,yes
H6-H18,8,11,T009,Deploy backpressure controller,Path A,,T007 T008,"outbox_pending_depth > 10000 triggers 25% concurrency reduction; > 50000 halts new lease grants; ORS receives signal within 1 heartbeat cycle",3,MEDIUM,2.0,yes
H6-H18,9,13,T010,Run SLO drills (SLO-1 duplicate check + SLO-2 age check),Path A,,T008 T009,"SLO-1 drill: 0 duplicate chunk_id rows in completed_at window; SLO-2 drill: no outbox record older than 2h under normal load",1,HIGH,2.5,yes
H6-H18,11,14,T011,Validate outbox age under load + enable live sink writes,Path A,,T010,"oldest pending outbox record age < 2h confirmed under simulated full-throughput; live sink write mode enabled after dry-run passes",2,MEDIUM,1.5,yes
H6-H18,13,16,T012,Deploy hourly cron: DB-derived monotonic metrics replace file counts,Path A,,T005 T011,"Hourly cron reads chunk_queue.record_count_produced and sink_outbox.synced_count; output is monotonically increasing across 3 consecutive hours; no file-system count in report",3,LOW,1.5,yes
H6-H18,6,18,GATE-H18,H18 Go-Gate validation (SLO-1 drill),Path A,,"T007 T008 T009 T010 T011 T012","0 duplicate chunk executions confirmed in SLO-1 drill; outbox age < 2h confirmed; heartbeat reclaim working; DB-derived metrics active — BLOCKS Path B entry",1,HIGH,1.0,yes
H18-H36,18,20,T013,Validate Pandavs connectivity + schema compatibility,Path B,,GATE-H18,"Pandavs module responds on configured endpoint; schema compatibility check passes (no type mismatches); runtime host match confirmed — abort to Path A indefinitely if fails",1,HIGH,1.5,no
H18-H36,19,22,T014,Add Pandavs as parallel sink_target in sink_outbox,Path B,,T013,"sink_outbox sweep writes to both existing sink AND Pandavs sink_target='pandavs'; zero records dropped during dual-write activation; SQLite outbox sweep continues unmodified",1,HIGH,2.0,no
H18-H36,21,25,T015,Dual-write verification: row count comparison,Path B,,T014,"Row count delta between SQLite outbox synced_count and Pandavs ingested_count < 1% after 3h dual-write window; any delta > 1% triggers automatic rollback to Path A",1,HIGH,2.0,no
H18-H36,23,27,T016,DB-derived metrics: add Pandavs sink comparison column,Path B,,T015,"Hourly report includes both sink_outbox.synced_count (SQLite path) and pandavs_ingest_count side-by-side; delta column computed; monotonicity holds for both columns",2,MEDIUM,1.5,no
H18-H36,25,29,T017,Promote Pandavs to primary sink (conditional on H36 gate),Path B,,T016 GATE-H36,"Pandavs row count delta < 1% confirmed; hourly monotonicity 100% for 18h window; MTTR drill passes; outbox sweep disabled for Pandavs path only",2,MEDIUM,1.5,yes
H18-H36,27,30,T018,Contingency planning + rollback playbook validation,Path B,,T014,"Rollback procedure tested: disable sink_target='pandavs' restores Path A within 5 minutes; zero records lost on rollback; MTTR drill at H30 confirms <15 min recovery",2,MEDIUM,1.5,yes
H18-H36,18,36,GATE-H36,H36 Go-Gate validation (Path B promotion),Path B,,"T013 T014 T015 T016 T017 T018","integrity delta < 1%; hourly monotonicity 100% for full 18h window; MTTR drill < 15 min; rollback test passes — if gate fails rollback to Path A indefinitely",1,HIGH,1.0,yes
,0,18,CRITICAL_PATH_A,Path A critical path total,,,"T001 T002 T003 T004 T005 T007 T008 T010 GATE-H18",,,,13.5,
,18,36,CRITICAL_PATH_B,Path B critical path total (conditional),,,"T013 T014 T015 T016 T017 GATE-H36",,,,9.5,
,0,36,TOTAL_BUDGET,Full 36h window total effort estimate,,,,,,,,23.0,
