drill_id,category,failure_mode,pipeline_stage,injection_command,expected_recovery_mechanism,verification_query,pass_condition,mttr_target_s,data_loss_risk,notes
FM-01,scanner,SIGKILL scan worker mid-chunk,chunk_queue,kill -9 $(pgrep -f run_full_dns_pass),reclaim_stale_leases() returns chunk to PENDING; next worker picks up,SELECT status FROM chunk_queue WHERE status='LEASED',No LEASED rows after reclaim + restart,900,none (result file regenerated),Preferred MTTR via manual reclaim call
FM-02,scanner,Scanner killed between chunks (queue boundary),chunk_queue,kill -9 $(pgrep -f run_full_dns_pass) at CHUNK_DONE log,Restart scanner; PENDING chunks processed; COMPLETED unchanged,SELECT COUNT(*) FROM chunk_queue WHERE status='COMPLETED',Count unchanged or increasing after restart,60,none,Clean failure at boundary
FM-03,scanner,SIGKILL during grant_lease() SQLite tx,chunk_queue,kill -9 at BEGIN IMMEDIATE timing,WAL atomicity: ROLLBACK or COMMIT; either PENDING or LEASED (reaper handles),PRAGMA integrity_check,Returns 'ok',60,none,SQLite WAL atomicity guarantee
FM-04,persistence,SIGKILL persistence_gateway mid-ingest,events table,kill -9 $(pgrep -f persistence_gateway.py),files.status='pending' for interrupted file; INSERT OR IGNORE prevents duplication; restart re-reads file,SELECT COUNT(*) FROM events (before vs after restart+reingest),Count equal or higher (no lower),120,none (INSERT OR IGNORE dedup),Key idempotency drill
FM-05,persistence,Disk full during SQLite write,events table,fill disk to 99% before ingest-once,files.status='error' + last_error set; other files continue; on space recovery re-run clears errors,SELECT file_path FROM files WHERE status='error',Affected files logged; non-affected files processed,300,partial (events from full-disk window lost until rerun),Operator must free space then rerun
FM-06,persistence,Persistence gateway loop exit,events table,killall -9 persistence_gateway.py (stop loop),No new ingestion; WO-00024 ALT-02 alerts if errors rise; restart loop resumes from pending files,SELECT MAX(started_ts) FROM ingest_runs,Started_ts within 15min of now after restart,60,none,Alert detection drill
FM-07,persistence,Large malformed result file,events table,inject malformed lines into result file,parse_event fails for bad lines; errors++; other lines processed; file marked error,SELECT total_lines - events_inserted - events_deduped as parse_failures FROM ingest_runs ORDER BY rowid DESC LIMIT 1,parse_failures matches injected bad line count,60,partial (malformed lines lost),Test error-vs-good-line isolation
FM-08,clickhouse_sink,ClickHouse port 9000 unreachable,sink_outbox,sudo service clickhouse-server stop,Health check fails; sweep skipped; rows remain PENDING (no retry_count increment); after restart rows drain,SELECT status FROM sink_outbox WHERE sink_target='clickhouse' GROUP BY status,No new FAILED rows during outage; PENDING rows drain after recovery,900,none (rows stay PENDING),Key documented failure from DATABASE_OPS.md
FM-09,clickhouse_sink,SIGKILL sink worker mid-batch insert,sink_outbox,kill -9 $(pgrep -f clickhouse_sink_worker) during claim,Reaper returns CLAIMED rows to PENDING; ReplacingMergeTree handles CH-side duplicates,SELECT count() FROM pandavs_recon.scan_events FINAL,Count correct (FINAL deduplication); no excess rows,600,none,Critical idempotency + reaper drill
FM-10,clickhouse_sink,ClickHouse auth failure (NON_RETRYABLE),sink_outbox,change CH password temporarily,All batch rows NON_RETRYABLE; promoted to DLQ; ALT-03 fires; operator restores password; manual replay clears,SELECT COUNT(*) FROM dead_letter_events WHERE reviewed_at IS NULL,DLQ count > 0 (alert fires); clears to 0 after replay,900,none (events in DLQ safe),DLQ + manual replay drill
